Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
grupo bimbo,4117589.71,MXN,OP-100000,27-Aug-2019,"April 24, 2023",1336
WALMART DE MÉXICO,7008028.47,USD,OP-100001,2017-04-10,18/02/2022,1775
liverpool,9918174.32,EUR,OP-100002,"April 21, 2017",N/A,N/A
grupo lala,1293043.34,USD,OP-100003,24-Nov-2023,N/A,N/A
FEMSA,7128647.73,EUR,OP-100004,2024-10-30,N/A,N/A
GRUPO LALA,7674495.46,MXN,OP-100005,"December 09, 2024",N/A,N/A
GRUPO CARSO,3510602.43,EUR,OP-100006,"May 30, 2020",N/A,N/A
PEMEX,7757624.86,EUR,OP-100007,"November 22, 2019",N/A,N/A
grupo bimbo,8585597.65,EUR,OP-100008,25-Dec-2022,N/A,N/A
GRUPO BIMBO,369040.51,EUR,OP-100009,2024-08-05,N/A,N/A
TELMEX,7790506.93,EUR,OP-100010,"March 06, 2024",N/A,N/A
GRUPO BIMBO,8995568.03,EUR,OP-100011,2020-03-23,N/A,N/A
GRUPO CARSO,4290578.01,EUR,OP-100012,2020-01-26,11-Jan-2025,1812
AMÉRICA MÓVIL,3459971.08,MXN,OP-100013,2019-10-08,N/A,N/A
ALSEA,9392020.16,USD,OP-100014,30/03/2024,N/A,N/A
TELMEX,4166277.37,USD,OP-100015,"May 16, 2022",N/A,N/A
WALMART DE MÉXICO,4113678.16,EUR,OP-100016,20-Dec-2016,N/A,N/A
LIVERPOOL,4953249.63,MXN,OP-100017,22-Apr-2022,N/A,N/A
cemex,3319003.33,EUR,OP-100018,27-Feb-2022,"January 05, 2025",1043
walmart de méxico,8744849.51,MXN,OP-100019,23/06/2020,"November 10, 2022",870
GRUPO CARSO,2428158.2,EUR,OP-100020,"April 18, 2024",N/A,N/A
GRUPO CARSO,6715400.46,EUR,OP-100021,"September 29, 2020",16-Apr-2022,564
GRUPO CARSO,7642540.07,USD,OP-100022,2021-04-17,N/A,N/A
BANORTE,1492529.64,EUR,OP-100023,09-Oct-2022,N/A,N/A
liverpool,6047402.0,USD,OP-100024,2016-07-11,N/A,N/A
GRUPO CARSO,4471775.34,USD,OP-100025,"June 24, 2017",N/A,N/A
grupo carso,314930.36,USD,OP-100026,2018-11-27,N/A,N/A
pemex,239039.68,MXN,OP-100027,14/06/2024,N/A,N/A
GRUPO LALA,1255138.55,EUR,OP-100028,2017-06-05,N/A,N/A
bbva méxico,7397758.86,MXN,OP-100029,19/04/2016,25-Apr-2022,2197
liverpool,6534299.27,MXN,OP-100030,"June 07, 2019","March 14, 2021",646
CEMEX,555789.89,MXN,OP-100031,"September 14, 2022",N/A,N/A
FEMSA,3312301.88,USD,OP-100032,2022-06-30,N/A,N/A
femsa,2384527.42,USD,OP-100033,"March 16, 2024",11-Jan-2025,301
LIVERPOOL,3756724.94,MXN,OP-100034,2023-07-04,N/A,N/A
grupo carso,4470834.33,MXN,OP-100035,"May 05, 2022",N/A,N/A
BBVA MÉXICO,8368678.34,USD,OP-100036,"March 17, 2017",N/A,N/A
banorte,9375679.88,USD,OP-100037,12/12/2021,09/05/2024,998
bbva méxico,3470032.22,MXN,OP-100038,2024-01-09,N/A,N/A
pemex,7676316.84,MXN,OP-100039,"August 10, 2017",N/A,N/A
grupo bimbo,4396831.45,EUR,OP-100040,2024-08-08,N/A,N/A
GRUPO MÉXICO,291767.58,EUR,OP-100041,29/06/2022,N/A,N/A
BANORTE,3681169.18,USD,OP-100042,20/12/2017,2019-02-06,413
pemex,1138951.08,EUR,OP-100043,"March 17, 2025",N/A,N/A
pemex,4285983.01,EUR,OP-100044,2020-08-16,N/A,N/A
AMÉRICA MÓVIL,8669420.02,USD,OP-100045,2023-01-09,"April 27, 2024",474
GRUPO CARSO,7693657.61,MXN,OP-100046,2018-06-20,01-Oct-2023,1929
grupo bimbo,5187047.54,MXN,OP-100047,"June 08, 2025",N/A,N/A
banorte,4362091.78,USD,OP-100048,"July 27, 2016",N/A,N/A
bbva méxico,4301880.34,MXN,OP-100049,03-Nov-2022,N/A,N/A
GRUPO BIMBO,9478655.68,USD,OP-100050,2018-05-31,N/A,N/A
ALSEA,962799.11,EUR,OP-100051,2019-11-08,24/04/2025,1994
walmart de méxico,3053454.53,MXN,OP-100052,"July 19, 2018",N/A,N/A
grupo lala,4894938.75,USD,OP-100053,2025-03-19,N/A,N/A
liverpool,3811453.81,EUR,OP-100054,30-Mar-2021,N/A,N/A
grupo méxico,4941640.93,USD,OP-100055,"June 26, 2018","May 28, 2019",336
BANORTE,9181735.08,EUR,OP-100056,07/08/2020,24-Aug-2020,47
grupo méxico,3337815.3,MXN,OP-100057,22/04/2019,N/A,N/A
bbva méxico,4459021.28,USD,OP-100058,"August 31, 2023",N/A,N/A
grupo carso,4092558.61,USD,OP-100059,15-Nov-2017,14/02/2021,1187
liverpool,6285330.82,USD,OP-100060,07/01/2024,N/A,N/A
PEMEX,499691.06,MXN,OP-100061,01-Dec-2024,N/A,N/A
BBVA MÉXICO,675759.12,EUR,OP-100062,"December 27, 2016","April 14, 2020",1204
SORIANA,8062409.35,MXN,OP-100063,2021-11-07,N/A,N/A
cemex,4561200.1,MXN,OP-100064,"November 06, 2022",N/A,N/A
BANORTE,8049665.22,EUR,OP-100065,2021-12-27,26/02/2025,1157
grupo méxico,354912.25,EUR,OP-100066,"July 02, 2025",N/A,N/A
GRUPO LALA,3243560.2,EUR,OP-100067,01/09/2015,"May 27, 2024",3426
grupo méxico,5137288.81,MXN,OP-100068,"July 18, 2024",N/A,N/A
GRUPO LALA,3297469.75,EUR,OP-100069,05/08/2020,N/A,N/A
GRUPO MÉXICO,9445098.6,USD,OP-100070,2020-04-21,01-Mar-2025,1775
grupo lala,2311195.09,EUR,OP-100071,01/09/2015,"March 01, 2022",2608
CEMEX,8434347.94,EUR,OP-100072,2025-02-09,N/A,N/A
walmart de méxico,650005.17,EUR,OP-100073,2018-02-19,N/A,N/A
grupo lala,1907346.87,EUR,OP-100074,11/11/2023,N/A,N/A
banorte,3783344.46,MXN,OP-100075,2019-05-24,N/A,N/A
GRUPO BIMBO,8578035.84,MXN,OP-100076,08-Apr-2020,2024-12-15,1712
grupo carso,2310389.84,USD,OP-100077,2019-07-04,N/A,N/A
AMÉRICA MÓVIL,7671578.73,MXN,OP-100078,2018-02-25,N/A,N/A
walmart de méxico,939886.26,MXN,OP-100079,20/05/2025,N/A,N/A
AMÉRICA MÓVIL,3559498.96,MXN,OP-100080,13/02/2019,N/A,N/A
grupo bimbo,3660124.7,MXN,OP-100081,"May 12, 2020",N/A,N/A
américa móvil,3455234.67,USD,OP-100082,2018-12-23,25/07/2022,1310
CEMEX,9992868.22,EUR,OP-100083,"June 12, 2025",N/A,N/A
walmart de méxico,7696224.4,EUR,OP-100084,"March 19, 2023",N/A,N/A
CEMEX,2936431.9,MXN,OP-100085,21/02/2021,N/A,N/A
FEMSA,9898898.56,USD,OP-100086,15-Nov-2016,11/12/2018,727
BANORTE,1021526.38,USD,OP-100087,30/01/2025,N/A,N/A
liverpool,3794476.62,MXN,OP-100088,08/12/2019,N/A,N/A
GRUPO LALA,5266154.41,USD,OP-100089,19/05/2022,31-Dec-2022,226
ALSEA,8926978.81,MXN,OP-100090,"February 21, 2023",N/A,N/A
FEMSA,7284248.28,EUR,OP-100091,2016-03-24,08-May-2020,1506
PEMEX,4540486.02,MXN,OP-100092,"October 18, 2020",N/A,N/A
FEMSA,1342860.66,MXN,OP-100093,2023-06-30,N/A,N/A
