Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
GRUPO MÉXICO,8773912.63,USD,OP-432771,2021-12-03,N/A,N/A
bbva méxico,3142849.71,EUR,OP-562526,06-Mar-2023,N/A,N/A
cemex,3984770.57,MXN,OP-105108,2016-10-10,N/A,N/A
soriana,4722373.8,MXN,OP-208519,2020-02-15,N/A,N/A
AMÉRICA MÓVIL,8538634.3,EUR,OP-552655,21-Oct-2018,N/A,N/A
grupo carso,700179.88,MXN,OP-610597,13/02/2019,N/A,N/A
pemex,4074389.58,EUR,OP-428149,2018-02-05,N/A,N/A
liverpool,4468958.34,MXN,OP-936038,26/12/2015,"July 14, 2016",201
WALMART DE MÉXICO,1123891.93,MXN,OP-941471,08/08/2017,N/A,N/A
grupo lala,9268963.82,MXN,OP-950402,2018-02-08,N/A,N/A
AMÉRICA MÓVIL,3188583.46,MXN,OP-123865,07/05/2018,2022-03-25,1359
CEMEX,2770625.15,USD,OP-341765,2017-02-02,N/A,N/A
alsea,9566168.31,USD,OP-147974,2024-07-14,N/A,N/A
ALSEA,8717639.87,MXN,OP-340616,"March 12, 2020",N/A,N/A
grupo bimbo,2296032.34,USD,OP-319859,04/11/2022,N/A,N/A
alsea,3669913.62,EUR,OP-597759,15/02/2018,N/A,N/A
liverpool,5608433.34,MXN,OP-473161,17-May-2025,N/A,N/A
femsa,6411089.32,MXN,OP-945279,02/04/2023,N/A,N/A
CEMEX,646254.38,USD,OP-384802,17-Aug-2022,N/A,N/A
GRUPO MÉXICO,2988461.22,EUR,OP-923607,2016-09-03,2024-08-01,2889
walmart de méxico,7275372.7,EUR,OP-528935,2016-02-14,25/12/2017,680
soriana,4426468.86,MXN,OP-740744,"November 23, 2023",N/A,N/A
grupo lala,7555375.31,EUR,OP-717874,10/02/2020,N/A,N/A
liverpool,7152495.17,EUR,OP-327690,11-Dec-2017,08-Sep-2018,271
grupo méxico,932209.64,USD,OP-907984,23-Jun-2017,15/10/2024,2671
ALSEA,3250800.82,USD,OP-340096,21/01/2025,N/A,N/A
alsea,2718094.28,USD,OP-100461,03/06/2017,16/06/2019,832
ALSEA,5801060.19,MXN,OP-270460,"July 24, 2023",N/A,N/A
soriana,9833715.27,MXN,OP-917735,16/09/2015,N/A,N/A
BANORTE,6836758.55,MXN,OP-491380,03/11/2018,N/A,N/A
alsea,3268634.5,MXN,OP-395969,13/04/2020,N/A,N/A
GRUPO CARSO,594639.04,EUR,OP-472293,2021-07-15,N/A,N/A
AMÉRICA MÓVIL,2051681.69,EUR,OP-744815,14-Sep-2022,N/A,N/A
banorte,957398.58,EUR,OP-494872,"September 22, 2017",05-Mar-2021,1260
GRUPO LALA,8755035.09,MXN,OP-320393,2021-07-12,N/A,N/A
CEMEX,3060709.38,USD,OP-118612,2020-09-22,N/A,N/A
GRUPO BIMBO,5424808.24,USD,OP-951087,"July 07, 2023",N/A,N/A
CEMEX,9989777.93,EUR,OP-488413,16-Apr-2020,N/A,N/A
GRUPO BIMBO,818289.08,MXN,OP-324286,13-Nov-2017,2019-05-22,555
grupo carso,9156213.13,USD,OP-283795,"January 19, 2025",N/A,N/A
AMÉRICA MÓVIL,4945308.54,EUR,OP-653029,07/10/2016,N/A,N/A
ALSEA,8455669.62,EUR,OP-508184,2021-04-28,N/A,N/A
ALSEA,1222071.6,USD,OP-425114,30-Mar-2020,2024-02-02,1404
BBVA MÉXICO,4791601.28,EUR,OP-825617,25-Dec-2021,N/A,N/A
telmex,9635868.86,USD,OP-910064,21-Mar-2024,N/A,N/A
grupo bimbo,3218018.9,USD,OP-419500,21/10/2022,N/A,N/A
grupo bimbo,3442763.67,USD,OP-495428,2020-08-20,N/A,N/A
FEMSA,3507768.93,MXN,OP-617736,2024-06-29,N/A,N/A
grupo carso,3607300.59,MXN,OP-423124,"March 15, 2021",N/A,N/A
GRUPO BIMBO,8312767.38,EUR,OP-569801,17-Sep-2019,N/A,N/A
américa móvil,2279768.32,MXN,OP-920244,2022-05-26,N/A,N/A
BANORTE,6434314.88,EUR,OP-794605,25/07/2021,N/A,N/A
GRUPO MÉXICO,1339254.94,USD,OP-680579,"January 13, 2022",N/A,N/A
BBVA MÉXICO,8294714.22,EUR,OP-447979,13-Mar-2019,N/A,N/A
liverpool,7518849.46,MXN,OP-134913,10/11/2020,2025-07-07,1730
grupo bimbo,3579411.46,USD,OP-277301,"August 19, 2024",N/A,N/A
BANORTE,1707095.39,MXN,OP-128958,17/02/2020,2021-06-25,494
telmex,7119515.9,USD,OP-996052,05-Dec-2018,N/A,N/A
femsa,4109154.15,EUR,OP-378445,14-Jul-2025,N/A,N/A
telmex,5410981.49,MXN,OP-534270,2019-10-05,N/A,N/A
WALMART DE MÉXICO,5670132.95,USD,OP-197658,08/09/2015,20-Feb-2021,2022
bbva méxico,9869734.01,MXN,OP-989806,07/12/2021,N/A,N/A
SORIANA,3420953.56,MXN,OP-818346,13-Mar-2018,"July 18, 2018",127
